run_id,condition,task_id,strict_success,normalized_success,wrapper_normalized
T10-r2-reflexive,reflexive,T10,True,True,False
T10-r2-sage,sage,T10,True,True,False
T10-r2-parallel,parallel,T10,True,True,False
T10-r2-sequential,sequential,T10,True,True,False
T10-r2-sage_all_skills,sage_all_skills,T10,True,True,False
T10-r2-hierarchical_all_skills,hierarchical_all_skills,T10,True,True,False
T10-r2-hierarchical,hierarchical,T10,True,True,False
T10-r2-single,single,T10,True,True,False
T10-r2-sage_single,sage_single,T10,True,True,False
T08-r1-sage_all_skills,sage_all_skills,T08,True,True,False
T08-r1-hierarchical_all_skills,hierarchical_all_skills,T08,True,True,False
T08-r1-single,single,T08,True,True,False
T08-r1-parallel,parallel,T08,True,True,False
T08-r1-sage_single,sage_single,T08,True,True,False
T08-r1-reflexive,reflexive,T08,True,True,False
T08-r1-sequential,sequential,T08,True,True,False
T08-r1-sage,sage,T08,True,True,False
T08-r1-hierarchical,hierarchical,T08,True,True,False
T02-r1-sage_all_skills,sage_all_skills,T02,True,True,False
T02-r1-sequential,sequential,T02,True,True,False
T02-r1-sage,sage,T02,False,False,False
T02-r1-single,single,T02,True,True,False
T02-r1-reflexive,reflexive,T02,True,True,False
T02-r1-hierarchical,hierarchical,T02,True,True,False
T02-r1-hierarchical_all_skills,hierarchical_all_skills,T02,True,True,False
T02-r1-sage_single,sage_single,T02,True,True,False
T02-r1-parallel,parallel,T02,True,True,False
T05-r2-hierarchical,hierarchical,T05,True,True,False
T05-r2-reflexive,reflexive,T05,True,True,False
T05-r2-sequential,sequential,T05,True,True,False
T05-r2-single,single,T05,True,True,False
T05-r2-sage_all_skills,sage_all_skills,T05,True,True,False
T05-r2-parallel,parallel,T05,False,False,False
T05-r2-sage,sage,T05,True,True,False
T05-r2-sage_single,sage_single,T05,False,False,False
T05-r2-hierarchical_all_skills,hierarchical_all_skills,T05,True,True,False
T01-r2-sage_single,sage_single,T01,True,True,False
T01-r2-parallel,parallel,T01,True,True,False
T01-r2-reflexive,reflexive,T01,True,True,False
T01-r2-hierarchical,hierarchical,T01,True,True,False
T01-r2-sage,sage,T01,True,True,False
T01-r2-single,single,T01,True,True,False
T01-r2-hierarchical_all_skills,hierarchical_all_skills,T01,True,True,False
T01-r2-sequential,sequential,T01,True,True,False
T01-r2-sage_all_skills,sage_all_skills,T01,True,True,False
T04-r2-sequential,sequential,T04,True,True,False
T04-r2-single,single,T04,True,True,False
T04-r2-hierarchical,hierarchical,T04,True,True,False
T04-r2-hierarchical_all_skills,hierarchical_all_skills,T04,True,True,False
T04-r2-sage_all_skills,sage_all_skills,T04,False,False,False
T04-r2-sage,sage,T04,True,True,False
T04-r2-parallel,parallel,T04,True,True,False
T04-r2-sage_single,sage_single,T04,True,True,False
T04-r2-reflexive,reflexive,T04,True,True,False
T06-r2-hierarchical,hierarchical,T06,True,True,False
T06-r2-sage,sage,T06,True,True,False
T06-r2-reflexive,reflexive,T06,True,True,False
