run_id,condition,task_id,strict_success,wrapper_normalized,normalized_success,fixture_passes
T10-r1-hierarchical,hierarchical,T10,True,False,True,
T10-r1-sequential,sequential,T10,True,False,True,
T10-r1-reflexive,reflexive,T10,True,False,True,
T10-r1-single,single,T10,True,False,True,
T10-r1-parallel,parallel,T10,True,False,True,
T10-r1-hierarchical_all_skills,hierarchical_all_skills,T10,True,False,True,
T11-r2-hierarchical_all_skills,hierarchical_all_skills,T11,False,True,True,"[true, true, true]"
T11-r2-single,single,T11,False,True,True,"[true, true, true]"
T11-r2-hierarchical,hierarchical,T11,False,True,True,"[true, true, true]"
T11-r2-sequential,sequential,T11,False,True,True,"[true, true, true]"
T11-r2-reflexive,reflexive,T11,False,True,True,"[true, true, true]"
T11-r2-parallel,parallel,T11,False,True,True,"[true, true, true]"
T03-r2-hierarchical,hierarchical,T03,True,False,True,
T03-r2-sequential,sequential,T03,True,False,True,
T03-r2-parallel,parallel,T03,True,False,True,
T03-r2-single,single,T03,True,False,True,
T03-r2-hierarchical_all_skills,hierarchical_all_skills,T03,True,False,True,
T03-r2-reflexive,reflexive,T03,True,False,True,
T05-r1-single,single,T05,True,False,True,
T05-r1-hierarchical_all_skills,hierarchical_all_skills,T05,True,False,True,
T05-r1-sequential,sequential,T05,True,False,True,
T05-r1-reflexive,reflexive,T05,True,False,True,
T05-r1-hierarchical,hierarchical,T05,True,False,True,
T05-r1-parallel,parallel,T05,True,False,True,
T06-r2-parallel,parallel,T06,True,False,True,
T06-r2-hierarchical_all_skills,hierarchical_all_skills,T06,True,False,True,
T06-r2-hierarchical,hierarchical,T06,True,False,True,
T06-r2-sequential,sequential,T06,True,False,True,
T06-r2-reflexive,reflexive,T06,True,False,True,
T06-r2-single,single,T06,True,False,True,
T04-r2-parallel,parallel,T04,True,False,True,
T04-r2-single,single,T04,True,False,True,
T04-r2-reflexive,reflexive,T04,True,False,True,
T04-r2-sequential,sequential,T04,True,False,True,
T04-r2-hierarchical_all_skills,hierarchical_all_skills,T04,True,False,True,
T04-r2-hierarchical,hierarchical,T04,True,False,True,
T07-r2-parallel,parallel,T07,True,False,True,
T07-r2-single,single,T07,True,False,True,
T07-r2-hierarchical,hierarchical,T07,True,False,True,
T07-r2-sequential,sequential,T07,True,False,True,
T07-r2-reflexive,reflexive,T07,True,False,True,
T07-r2-hierarchical_all_skills,hierarchical_all_skills,T07,True,False,True,
T09-r2-reflexive,reflexive,T09,True,False,True,
T09-r2-parallel,parallel,T09,True,False,True,
T09-r2-hierarchical,hierarchical,T09,True,False,True,
