run_id,condition,task_id,path,initial_correct,any_proposal_correct,final_correct,corrected,regressed
T10-r2-sage,sage,T10,direct,True,True,True,False,False
T10-r2-sage_all_skills,sage_all_skills,T10,direct,True,True,True,False,False
T10-r2-sage_single,sage_single,T10,direct,True,True,True,False,False
T08-r1-sage_all_skills,sage_all_skills,T08,parallel_agreement,True,True,True,False,False
T08-r1-sage_single,sage_single,T08,direct,True,True,True,False,False
T08-r1-sage,sage,T08,parallel_adjudication,True,True,True,False,False
T02-r1-sage_all_skills,sage_all_skills,T02,direct,True,True,True,False,False
T02-r1-sage,sage,T02,direct,False,False,False,False,False
T02-r1-sage_single,sage_single,T02,direct,True,True,True,False,False
T05-r2-sage_all_skills,sage_all_skills,T05,parallel_adjudication,False,True,True,True,False
T05-r2-sage,sage,T05,parallel_agreement,True,True,True,False,False
T05-r2-sage_single,sage_single,T05,direct,False,False,False,False,False
T01-r2-sage_single,sage_single,T01,direct,True,True,True,False,False
T01-r2-sage,sage,T01,direct,True,True,True,False,False
T01-r2-sage_all_skills,sage_all_skills,T01,direct,True,True,True,False,False
T04-r2-sage_all_skills,sage_all_skills,T04,direct,False,False,False,False,False
T04-r2-sage,sage,T04,direct,True,True,True,False,False
T04-r2-sage_single,sage_single,T04,direct,True,True,True,False,False
T06-r2-sage,sage,T06,parallel_agreement,True,True,True,False,False
T06-r2-sage_single,sage_single,T06,direct,True,True,True,False,False
T06-r2-sage_all_skills,sage_all_skills,T06,parallel_agreement,True,True,True,False,False
T04-r1-sage_single,sage_single,T04,direct,True,True,True,False,False
T04-r1-sage_all_skills,sage_all_skills,T04,direct,True,True,True,False,False
T04-r1-sage,sage,T04,direct,True,True,True,False,False
T12-r2-sage,sage,T12,selective_review,False,False,True,True,False
T12-r2-sage_all_skills,sage_all_skills,T12,direct,False,False,False,False,False
T12-r2-sage_single,sage_single,T12,direct,True,True,True,False,False
T03-r1-sage,sage,T03,direct,True,True,True,False,False
T03-r1-sage_single,sage_single,T03,direct,True,True,True,False,False
T03-r1-sage_all_skills,sage_all_skills,T03,direct,True,True,True,False,False
T06-r1-sage_all_skills,sage_all_skills,T06,parallel_agreement,True,True,True,False,False
T06-r1-sage_single,sage_single,T06,direct,True,True,True,False,False
T06-r1-sage,sage,T06,parallel_agreement,True,True,True,False,False
T11-r2-sage_all_skills,sage_all_skills,T11,direct,True,True,True,False,False
T11-r2-sage,sage,T11,direct,True,True,True,False,False
T11-r2-sage_single,sage_single,T11,direct,True,True,True,False,False
T05-r1-sage_single,sage_single,T05,direct,True,True,True,False,False
T05-r1-sage,sage,T05,parallel_adjudication,False,True,True,True,False
T05-r1-sage_all_skills,sage_all_skills,T05,parallel_agreement,True,True,True,False,False
T11-r1-sage_single,sage_single,T11,direct,False,False,False,False,False
T11-r1-sage_all_skills,sage_all_skills,T11,direct,True,True,True,False,False
T11-r1-sage,sage,T11,selective_review,False,False,True,True,False
T09-r1-sage,sage,T09,direct,True,True,True,False,False
T09-r1-sage_single,sage_single,T09,direct,True,True,True,False,False
T09-r1-sage_all_skills,sage_all_skills,T09,direct,True,True,True,False,False
T07-r1-sage_all_skills,sage_all_skills,T07,parallel_agreement,True,True,True,False,False
T07-r1-sage,sage,T07,parallel_agreement,True,True,True,False,False
T07-r1-sage_single,sage_single,T07,direct,True,True,True,False,False
T10-r1-sage_single,sage_single,T10,direct,True,True,True,False,False
T10-r1-sage_all_skills,sage_all_skills,T10,direct,True,True,True,False,False
T10-r1-sage,sage,T10,direct,True,True,True,False,False
T09-r2-sage_single,sage_single,T09,direct,True,True,True,False,False
T09-r2-sage,sage,T09,direct,True,True,True,False,False
T09-r2-sage_all_skills,sage_all_skills,T09,direct,True,True,True,False,False
T01-r1-sage_all_skills,sage_all_skills,T01,direct,True,True,True,False,False
T01-r1-sage_single,sage_single,T01,direct,True,True,True,False,False
T01-r1-sage,sage,T01,direct,True,True,True,False,False
T07-r2-sage_single,sage_single,T07,direct,True,True,True,False,False
T07-r2-sage_all_skills,sage_all_skills,T07,parallel_agreement,True,True,True,False,False
T07-r2-sage,sage,T07,parallel_agreement,True,True,True,False,False
T12-r1-sage_single,sage_single,T12,direct,False,False,False,False,False
T12-r1-sage,sage,T12,selective_review,False,False,True,True,False
T12-r1-sage_all_skills,sage_all_skills,T12,selective_review,False,False,True,True,False
T03-r2-sage_all_skills,sage_all_skills,T03,direct,True,True,True,False,False
T03-r2-sage_single,sage_single,T03,direct,True,True,True,False,False
T03-r2-sage,sage,T03,direct,True,True,True,False,False
T08-r2-sage_all_skills,sage_all_skills,T08,parallel_agreement,True,True,True,False,False
T08-r2-sage,sage,T08,parallel_adjudication,False,True,True,True,False
T08-r2-sage_single,sage_single,T08,direct,True,True,True,False,False
T02-r2-sage_single,sage_single,T02,direct,True,True,True,False,False
T02-r2-sage_all_skills,sage_all_skills,T02,direct,True,True,True,False,False
T02-r2-sage,sage,T02,direct,True,True,True,False,False
